"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\User\almelad-factory\.env", "Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\User\almelad-factory\middleware\auth.js", "JavaScript", 14, 0, 0, 0, 0, 1, 4, 19
"c:\Users\User\almelad-factory\models\Product.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User\almelad-factory\models\admin.js", "JavaScript", 10, 0, 0, 0, 0, 1, 4, 15
"c:\Users\User\almelad-factory\package-lock.json", "JSON", 0, 0, 1972, 0, 0, 0, 1, 1973
"c:\Users\User\almelad-factory\package.json", "JSON", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\User\almelad-factory\public\admin\add-product.html", "HTML", 0, 105, 0, 0, 0, 0, 6, 111
"c:\Users\User\almelad-factory\public\admin\admin.js", "JavaScript", 84, 0, 0, 0, 0, 7, 9, 100
"c:\Users\User\almelad-factory\public\admin\dashboard.html", "HTML", 0, 165, 0, 0, 0, 0, 15, 180
"c:\Users\User\almelad-factory\public\admin\edit-product.html", "HTML", 0, 117, 0, 0, 0, 0, 7, 124
"c:\Users\User\almelad-factory\public\admin\login.html", "HTML", 0, 92, 0, 0, 0, 1, 6, 99
"c:\Users\User\almelad-factory\public\admin\styles.css", "CSS", 0, 0, 0, 46, 0, 0, 0, 46
"c:\Users\User\almelad-factory\public\category.html", "HTML", 0, 161, 0, 0, 0, 0, 9, 170
"c:\Users\User\almelad-factory\public\category.js", "JavaScript", 31, 0, 0, 0, 0, 1, 7, 39
"c:\Users\User\almelad-factory\public\index.html", "HTML", 0, 203, 0, 0, 0, 0, 5, 208
"c:\Users\User\almelad-factory\public\product.html", "HTML", 0, 128, 0, 0, 0, 0, 6, 134
"c:\Users\User\almelad-factory\public\script.js", "JavaScript", 18, 0, 0, 0, 0, 1, 2, 21
"c:\Users\User\almelad-factory\scripts\createAdmin.js", "JavaScript", 19, 0, 0, 0, 0, 1, 7, 27
"c:\Users\User\almelad-factory\server.js", "JavaScript", 118, 0, 0, 0, 0, 5, 15, 138
"Total", "-", 307, 971, 1993, 46, 2, 18, 109, 3446
