"filename", "language", "JSON", "JavaScript", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\User\almelad-factory\.env", "Properties", 0, 0, 2, 0, 0, 1, 3
"c:\Users\User\almelad-factory\middleware\auth.js", "JavaScript", 0, 14, 0, 0, 1, 4, 19
"c:\Users\User\almelad-factory\models\Product.js", "JavaScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\User\almelad-factory\models\admin.js", "JavaScript", 0, 10, 0, 0, 1, 4, 15
"c:\Users\User\almelad-factory\package-lock.json", "JSON", 1972, 0, 0, 0, 0, 1, 1973
"c:\Users\User\almelad-factory\package.json", "JSON", 21, 0, 0, 0, 0, 1, 22
"c:\Users\User\almelad-factory\public\admin\add-product.html", "HTML", 0, 0, 0, 105, 0, 6, 111
"c:\Users\User\almelad-factory\public\admin\dashboard.html", "HTML", 0, 0, 0, 190, 0, 29, 219
"c:\Users\User\almelad-factory\public\admin\edit-product.html", "HTML", 0, 0, 0, 117, 0, 7, 124
"c:\Users\User\almelad-factory\public\admin\login.html", "HTML", 0, 0, 0, 94, 1, 7, 102
"c:\Users\User\almelad-factory\public\category.html", "HTML", 0, 0, 0, 174, 0, 29, 203
"c:\Users\User\almelad-factory\public\category.js", "JavaScript", 0, 31, 0, 0, 1, 7, 39
"c:\Users\User\almelad-factory\public\index.html", "HTML", 0, 0, 0, 203, 0, 5, 208
"c:\Users\User\almelad-factory\public\product.html", "HTML", 0, 0, 0, 167, 0, 15, 182
"c:\Users\User\almelad-factory\public\script.js", "JavaScript", 0, 18, 0, 0, 1, 2, 21
"c:\Users\User\almelad-factory\scripts\createAdmin.js", "JavaScript", 0, 19, 0, 0, 1, 7, 27
"c:\Users\User\almelad-factory\server.js", "JavaScript", 0, 118, 0, 0, 5, 15, 138
"Total", "-", 1993, 223, 2, 1050, 11, 144, 3423
